,75.85
2004-02-11,48.50
2004-02-12,48.50
2004-02-13,48.61
2004-02-16,49.46
2004-02-17,49.21
2004-02-18,49.55
2004-02-19,49.57
2004-02-20,50.00
2004-02-23,49.95
2004-02-24,49.20
2004-02-25,49.40
2004-02-26,49.75
2004-02-27,50.00
2004-03-01,50.80
2004-03-02,52.10
2004-03-03,52.80
2004-03-04,53.00
2004-03-05,53.50
2004-03-08,52.60
2004-03-09,51.60
2004-03-10,51.95
2004-03-11,50.95
2004-03-12,50.80
2004-03-15,51.00
2004-03-16,49.32
2004-03-17,49.70
2004-03-18,49.70
2004-03-19,50.70
2004-03-22,47.43
2004-03-23,44.50
2004-03-24,47.30
2004-03-25,46.95
2004-03-26,47.24
2004-03-29,48.70
2004-03-30,49.10
2004-03-31,49.50
2004-04-01,49.30
2004-04-02,49.00
2004-04-05,49.50
2004-04-06,50.20
2004-04-07,49.93
2004-04-08,49.90
2004-04-09,49.90
2004-04-12,50.05
2004-04-13,50.95
2004-04-14,50.35
2004-04-15,51.40
2004-04-16,50.40
2004-04-19,51.20
2004-04-20,51.50
2004-04-21,50.80
2004-04-22,51.40
2004-04-23,50.70
2004-04-26,50.80
2004-04-27,50.90
2004-04-28,50.40
2004-04-29,49.58
2004-04-30,48.35
2004-05-03,47.10
2004-05-04,46.30
2004-05-05,47.10
2004-05-06,45.50
2004-05-07,45.00
2004-05-10,45.15
2004-05-11,44.60
2004-05-12,45.37
2004-05-13,45.30
2004-05-14,45.30
2004-05-17,43.51
2004-05-18,41.10
2004-05-19,43.40
2004-05-20,44.20
2004-05-21,44.50
2004-05-24,45.00
2004-05-25,45.00
2004-05-26,46.49
2004-05-27,46.00
2004-05-28,46.15
2004-05-31,46.30
2004-06-01,45.20
2004-06-02,44.80
2004-06-03,44.80
2004-06-04,43.50
2004-06-07,44.00
2004-06-08,45.90
2004-06-09,45.60
2004-06-10,45.10
2004-06-11,44.50
2004-06-14,43.44
2004-06-15,42.20
2004-06-16,43.50
2004-06-17,42.35
2004-06-18,43.29
2004-06-21,43.70
2004-06-23,42.91
2004-06-24,44.02
2004-06-25,44.30
2004-06-28,44.40
2004-06-29,43.52
2004-06-30,44.10
2004-07-01,44.90
2004-07-02,43.96
2004-07-05,43.60
2004-07-06,43.40
2004-07-07,43.30
2004-07-08,43.90
2004-07-09,43.85
2004-07-12,44.49
2004-07-13,43.90
2004-07-14,43.75
2004-07-15,43.30
2004-07-16,42.41
